Symbol,Strike,Premium,Delta,IV,# Contracts,Profit
PINS,34.0000,0.340000,-0.234308,0.763405,3,102.0
OPEN,13.0000,0.130000,-0.191214,0.961865,8,104.0
DKNG,26.0000,0.260000,-0.195971,0.935968,4,104.0
SONO,28.0000,0.260000,-0.248248,0.665276,4,104.0
TTCF,15.0000,0.150000,-0.204309,0.893469,7,105.0
AVXL,16.0000,0.150000,-0.130583,1.354556,7,105.0
STNE,15.0000,0.150000,-0.178563,1.036559,7,105.0
PACB,19.0000,0.180000,-0.159263,1.116142,6,108.0
BILI,50.0000,0.540000,-0.218770,0.886965,2,108.0
Z,56.0000,0.550000,-0.230276,0.766236,2,110.00000000000001
EDIT,27.0000,0.280000,-0.214066,0.876062,4,112.00000000000001
SFIX,17.5000,0.190000,-0.223212,0.871149,6,114.0
DDD,20.0000,0.230000,-0.238241,0.851863,5,115.0
SSYS,22.0000,0.230000,-0.203959,0.932105,5,115.0
X,22.0000,0.230000,-0.245430,0.753362,5,115.0
BLNK,28.0000,0.290000,-0.198000,0.955152,4,115.99999999999999
STEM,16.5000,0.200000,-0.221216,0.973098,6,120.0
APPS,48.0000,0.600000,-0.247902,0.878236,2,120.0
MARA,34.0000,0.420000,-0.180718,1.233954,3,126.0
FSLY,37.0000,0.420000,-0.214734,0.947952,3,126.0
EGHT,16.0000,0.180000,-0.222528,0.903018,7,126.0
RVLV,55.0000,0.650000,-0.231406,0.903414,2,130.0
URBN,27.0000,0.330000,-0.192178,1.144858,4,132.0
RIOT,23.0000,0.270000,-0.191482,1.108849,5,135.0
CHPT,18.5000,0.230000,-0.241417,0.901188,6,138.0
NNOX,15.0000,0.200000,-0.181864,1.310282,7,140.0
SPWR,20.0000,0.280000,-0.242298,1.000387,5,140.00000000000003
NEGG,10.5000,0.160000,-0.154016,1.734381,10,160.0
GWH,12.5000,0.180000,-0.182489,1.395741,9,162.0
GRWG,12.5000,0.180000,-0.219372,1.146977,9,162.0
AMC,22.0000,0.690000,-0.243900,2.016321,5,345.0
